Key,Translation,Version,Comment (context for translators)
space.object.ShipDerelict,,,
objects.devices.systemscanner,,,
objects.devices.systemscanner.desc,,,
research.systemscanning,,,
ship.in.no.build.zone,,,A reason why ship can't fly (when it has parts of it inside the no build zone)
link.display,,,
link.display.connectors,,,
link.display.all,,,
link.display.auto,,,
evt.derelict.approached.title,,,
evt.derelict.approached.desc,,,
research.furnitureluxury,,,
research.furniturewooden,,,
quest.step.approach.derelict.ship,,,
quest.step.approach.derelict.ship.tip,,,
quest.ApproachDerelictShip,,,
quest.ApproachDerelictShip.desc,,,
combat.state.AskForLift,,,During combat a unit may ask another unit to carry it to a different location
combat.state.LiftUnit,,,Carrying a unit to a different location during combat
research.machinelearning,,,
situation.DerelictsApproached,,,Label next to number of derelict ships that were approached
starving,,,When worker is extremely hungry
ate.favorite.food,,,
ate.raw.food,,,
merchant.ripoff,,,"{0} will be a percentage. Price markup means that if it's 10%, you're overpaying from market price by extra 10%"
merchant.may.sell,,,"Displayed before a list, example: ""May sell (won't buy): Food, Weapons, Armor"""
merchant.will.buy,,,"Displayed before a list, example: ""Will buy (won't sell): Food, Weapons, Armor"""
merchant.will.buy.may.sell,,,"Displayed before a list, example: ""Will buy / may sell: Food, Weapons, Armor"""
objects.devices.freezer,Diepvriezer,,
objects.devices.freezer.desc,,,
research.freezer,,,
objects.devices.quantumshipcomputer,,,
objects.devices.quantumshipcomputer.desc,,,
research.selfreplication.desc,,,
research.highavailability.desc,,,
research.highavailability,,,
research.quantumcloud,,,
research.quantumcloud.desc,Tot 64 scheepscomputers toegelaten,,
research.shipcomputer.desc,Tot 2 scheepscomputers toegelaten,,
research.shipcomputer,Scheepscomputer,,
cpu.cap.reached,Een Scheepscomputer was ontkoppeld van het net. De huidige limiet is <b>{0}</b>. De limiet kan verhoogd worden via onderzoek.,,
search.tab.tooltip,Je kunt ook {0} gebruiken voor <b>Snel Zoeken</b> naar een object in dit scherm,,"{0} will be the binding, like ""TAB"""
scanner.offline,Scanner uitgeschakeld,,"Scanner is a radar-like device that can scan space for various objects. It can be offline for various reasons - disconnected, unconfigured, etc."
scan.target.resource,Bron,,
scan.target.derelict.ship,Verlaten Schip,,
scan.target.anomaly,Anomalie,,
scan.target.none,Niets,,
scan.in.progress,,,
scan.target,Scandoel: {0},,"Verb. It says what the scanner is currently targeting. Example: ""Scan target: Derelict Ship"""
scan.stats,,,
scan.not.found,Geen {0} gevonden,,i.e. Uranium not found
scan.found.on.planet,<b>{0}</b> gevonden op <b>{1}</b>,,i.e. Found Uranium on Mars
scan.found,{0} gevonden,,i.e. Found Uranium
confirm.expedition.to.faction.territory,,,
research.systemscanning.desc,,,
research.scanning.desc,,,
system.scan.basic.unlocked,,,
system.scan.advanced.unlocked,,,
ship.computer.cap.unlock,,,
upgrade.unlocked,,,
obj.materials.caoutchouc,,,
obj.materials.caoutchouc.desc,,,
obj.plants.rubbertree,,,
obj.plants.rubbertree.desc,,,
objects.furniture.pantry,,,
objects.furniture.pantry.desc,,,
objects.devices.pentagramstatue,,,
objects.devices.pentagramstatue.desc,,,
objects.furniture.largepantry,,,
objects.furniture.largepantry.desc,,,
objects.furniture.sofa,,,
objects.furniture.sofa.desc,,,
obj.materials.leather,,,
objects.furniture.armchair,,,
objects.furniture.armchair.desc,,,
obj.materials.leather.desc,,,
beings.orbotron01,Orbotron,,It's a name for a robot that looks like a flying sphere (orb)
species.Orbotron,Orbotron,,It's a name for a robot that looks like a flying sphere (orb)
beings.orbotron01.desc,Een bolvormige kunstmatige levensvorm van buitenaardse oorsprong.,,
research.orbotron,Orbotron,,
hold.cancel.to.skip,,,
faction.AntiPlayer,,,
faction.AntiPlayer.about,,,
goal.ScanForResource,Configureer de Systeemscanner,,
goal.ScanForResource.desc,,,
goal.ScanAdvanced,,,
goal.ScanAdvanced.desc,,,
flammable,Ontvlambaar,,Label for the menu that lists properties of objects that can catch on fire. Could be used as an adjective.
constructable,,,Label for the menu that lists properties of buildable (constructable) objects. Could be used as an adjective.
battery,Batterij,,Label for battery (one that stores energy) properties. Could be used as a noun.
brain,Brein,,Label for menu about the state of the brain. Could be used as a noun for a body part.
cleanable,,,Adjective. Used as a label for menu for configuring cleanable items.
production.settings,,,Label for a menu where you can configure devices that produce items
emblem,Embleem,,Label for an emblem component configuration (where you can choose a custom emblem)
reactor,Reactor,,Label for menu of reactors (things that generate electricity)
plant,Plant,,Noun (as in a flower or garden plant)
unstored.material,,,Label for menu of material piles that aren inside the storage
goal.ApproachDerelict,,,
goal.ApproachDerelict.desc,,,
task.details,Taak Details,,Label for a list about details of a work item (task)
haul.capacity,Ophaalcapaciteit,,Label for a ui element that shows how much of material a worker can haul (i.e. 20 pieces)
carrying.being,Een wezen dragen,,Label for a UI element when a worker is carrying another worker or a colonist
drop.verb,Laten vallen,,"Verb, for a button label that forces the worker to drop something"
carrying.obj,Een object dragen,,
situation.Tension,,,"As in ""stress level"" of the player"
difficulty.impossible,Onmogelijk,,
situation.Influence,Invloed,,A level of influence player has over the game. This will be a label for the number of this statistic.
situation.TargetTension,,,Label for a chart that shows level for the value of story difficulty that the game will try to produce
quest.step.set.dest.type,,,"{0} will be Planet, Space Ship, Black Hole, etc"
quest.step.set.dest.type.tip,,,"{0} will be Planet, Space Ship, etc, {1} will be an existing translation saying ""Travel To"""
quest.step.reach.so.type,,,"{0} will be Planet, Space Ship, Black Hole, etc"
quest.step.reach.so.type.tip,,2024-12-24,"{0} will be Planet, Space Ship, etc"
quest.step.start.expedition,,,
quest.step.start.expedition.tip,,2023-09-02,"{0} will be another translation (""Launch Expedition"")"
quest.ExplorePlanet,,,
quest.ExplorePlanet.desc,,,
quest.VisitAnotherSystem,,,
quest.VisitAnotherSystem.desc,,,
ad.rej.floor.not.constructed,,,
ad.rej.no.floor,,,
too.hot.tip,,,
hold.to.select.multiple,,,"{0} is the key binding, i.e. SHIFT"
ship.preview.tip,,,
engine.power.tip,,,
engine.min.push.tip,,,
engine.wrong.layer.tip,,,
not.enough.engine.power,,,"{0} and {1} are something like 50kW. {2} is just an integer number, like 1230"
engines.too.weak,,,
difficulty.peaceful,Vredevol,,
goal.AddMoreCPU,,,
goal.AddMoreCPU.desc,,2023-07-27,
no.label,,,"For labeling devices, shown when there is no label assigned to an object"
set.label,,,Title for action to set the label
label,,,"As in ""tag"", ""name"". Noun."
size,Afmetingen,,Noun.
offset,,,Vertical or horizontal offset. Noun.
research.labeling,,,
research.labeling.desc,,,
objects.furniture.sign,,,"As in ""sign post"""
objects.furniture.sign.desc,,,
research.sign,,,"As in ""sign post"". Noun."
height,Hoogte,,noun
width,Breedte,,noun
color.hue,,,color property (H in HSL)
color.saturation,,,color property (S in HSL)
color.luminosity,,,color property (L in HSL) 
steam.connection.unavailable,,,
combat.ongoing,Gevecht gaande,,
bot.cpu.limit,,,
bot.cpu.limit.tip,,,
modifier.NoCPULimit,,,
outer.room.id,,,
no.landing.zone,,,
no.landing.zone.tip,,,
area.exposed.to.space,,,
area.exposed.to.space.tip,,,
must.be.outdoors,,,
must.be.outdoors.tip,,,
must.be.indoors,Moet binnen zijn,,
must.be.indoors.tip,,,
no.build.zone,,,
no.build.zone.tip,,,
no.fly.zone,,,
no.fly.zone.tip,,,
selected.color,Geselecteerde kleur,,
overlay.tip.Tint,Verf,,verb
tool.tint,Verf,,verb
paint.floor,Verf vloer,,
paint.walls,Verf Muren,,
erase.floor,Verwijder Vloer,,
erase.walls,Verwijder Muren,,
color.pick,Selecteer,,short action verb on button that picks color (eyedropper tool)
no.color.selected,Geen Kleur geselecteerd,,
save.color,Bewaar kleur,,
new.tech,Nieuwe Technologie,,
tint.sys.unlocked,,,
tint.sys.locked,,,
research.paint,Verf,,
research.paint.desc,,,
structure.doors.door02,,,
structure.doors.door02.desc,,,
objects.devices.autopainter,,,
objects.devices.autopainter.desc,,,
obj.materials.pigmentblue,,,
obj.materials.pigmentblue.desc,,,
obj.materials.pigmentgreen,,,
obj.materials.pigmentgreen.desc,,,
obj.materials.pigmentred,,,
obj.materials.pigmentred.desc,,,
current.color.estimate.tip,,,
max,,,"abbreviation for ""maximum"". Should be as short as possible, goes on a short button"
obj.materials.poppyheads,Klaproos Hoofden,,
obj.materials.poppyheads.desc,"Een prachtige botanische soort, bekend om zijn charmante uiterlijk en culinaire toepassingen, die de mensheid al eeuwenlang heeft geboeid.",,
obj.materials.poppypetals,Klaproos Bloemblaadjes,,
obj.materials.poppypetals.desc,"Delicaat, felgekleurd en vaak met een gerimpeld uiterlijk, voegen ze een vleugje schoonheid toe aan zowel tuinen als bloemstukken.",,
obj.plants.poppy,Klaproos,,
obj.plants.poppy.desc,Een bloeiende kruidachtige plant met papierachtige bloemblaadjes die vaak gebruikt wordt voor medicinale en culinaire doeleinden.,,
obj.materials.cornflowerpetals,,,
obj.materials.cornflowerpetals.desc,,,
obj.plants.cornflower,,,
obj.plants.cornflower.desc,,,
cannot.afford,,,Warning displayed in tooltip when something is too expensive
can.buy.count,,,{0} is a the number of items the player can afford to buy
tool.plan.move,,,
tool.plan.move.desc,,,
lightmap.scale,,,
lightmap.scale.tip,,,
lightmap.cell.size,,,
lightmap.cell.size.tip,,,
lightmap.max.lights.per.cell,,,
lightmap.max.lights.per.cell.tip,,,
light.intensity,,,
light.intensity.tip,,,
range,,,"Noun. as in ""reachable distance"". range of a gun, or a light source."
ignore.combat,,,
pixel.art,Pixel Art,,
pixel.art.low.budget,Goodkope Pixel Art,,
modifier.ExplosionBias,,,how likely explosions can occur. {0} will be from -100% to +100%
modifier.ExplosionBias.desc,,,
space.object.PlanetPOI,,,
space.object.info.PlanetPOI,,,
space.object.Moon,Maan,,
space.object.info.Moon,,,
ore.deposit,{0} Mijn,,"{0} will be replaced with ore name, such as Iron"
mining.difficulty,Delfmoeilijkheid,,
mining.difficulty.info,,,
exp.mine.resource.title,,,"{0} is resource name (i.e. Iron), {1:0.00} will become a number, like 1.35"
est.mining.rate,,2023-09-16,"{0:0.00} will become a number, like 1.35"
orders,Opdrachten,,"noun, as in current orders"
min.mine.rate,,,
min.mine.rate.tip,,,
objects.devices.autodrillrig,,,
objects.devices.autodrillrig.desc,,2023-10-18,Added note about no possibility to retrieve.
research.miningautomation,,,
quick.search.tip.starmap,,,
quick.search.tip.research,,,
quick.search.tip,,,
overlay.tip.Search,,,
deploy.resource.miner,,,
resource.miner,,,
resource.miner.tip,,,
deploy,,,"Verb, as in deploy the troops"
temp.storage,,,
known.resource.deposits,,,
planet.resource.filter.nearby,,,
planet.resource.filter.all.mined,,,
planet.resource.filter.nearby.mined,,,
planet.resource.filter.all.not.mined,,,
planet.resource.filter.nearby.not.mined,,,
codex.m.defenses.quantumbarrier.desc,,,
codex.m.defenses.quantumbarrier,,,
codex.m.defenses.tractorbeam,,,
codex.m.defenses.tractorbeam.desc,,,
codex.m.defenses,,,
mining.difficulty.value,,,"{0} will become a numeric value, like 12.34"
scan.found.faction,,,{0} will be faction name {1} will be planet name
scan.target.faction,,,
faction.standing.tip,Uw relatie met de <b>{0}</b> factie: <b>{1}</b>,,"{0} - faction name (i.e. pirates), {1} - standing value, could be number, or a word like good, bad, etc"
space.object.Port,Ruimtehaven,,
space.object.info.Port,Een plaats waar je kunt handelen en interageren met de factie die deze planeet bezit.,,
sell.ship.section,Verkoop een sectie van het schip,,
sell.ship.section.hint,,,
shipyard.section.offer,,,"{0} will be a merchant name or a space port, {1} will be the sum"
time.sensitive.operation,,,
merchant.type.MerchantSpacePortGood,,,
merchant.type.MerchantSpacePortEvil,,,
space.object.Resource,,2023-09-02,
space.object.info.Resource,,,
space.object.Anomaly,,,
space.object.info.Anomaly,,,
expedition.already.in.progress,,,"{0} is the object type, like Anomaly"
rebuild.graphics.cache,,,
rebuild.graphics.cache.tip,,,
evt.exp.crash.site.survivors.title,,,
evt.exp.crash.site.survivors.choice,,,
evt.exp.crash.site.survivors.good.desc,,,{0} is a number
evt.exp.crash.site.survivors.ambush.desc,,,{0} is a number
evt.exp.crash.site.survivors.good.title,,,
evt.exp.crash.site.survivors.ambush.title,,,
verb.rescue,,,
verb.leave,,,
verb.respond,,,
evt.exp.raider.extortion.title,,,
evt.exp.raider.extortion.choice,,,"{0} is shuttle name, {1} is some money amount"
verb.pay.ransom,,,
verb.refuse,Weigeren,,
evt.exp.raider.extortion.paid.desc,,,
evt.exp.raider.extortion.fight.won.desc,,,
evt.exp.raider.extortion.fight.lost.desc,,,
evt.exp.raider.extortion.resolved.title,,,
verb.collect,,,As in gather or pickup
vsync.off.warning,,,
vsync.off.autofix,,,
noun.recommended,Aangeraden,,
objects.devices.cargocopter,,,
objects.devices.cargocopter.desc,,,
menu.copters,Heli’s,,
menu.copters.desc,Geautomatiseerde onbemande helikopters,,
obj.copters.cargocopterflying,,,
obj.copters.cargocopterflying.desc,,,
copter.mission.stage.deploy.miner,,,"{0} is the resource miner device name, like Autodrill Rig"
copter.mission.stage.fly.to.ship,,,
copter.mission.stage.fly.to,,,"{0} is the name of the target, like Silicon Deposit, or a device name"
copter.mission.stage.collect.resource,,,{0} is material type 
copter.mission.stage.land.on.ship,,,
copter.mission.stage.leave.ship,,,
copter.mission.stage.start,,,
copter.mission.stage.random.park,,,
copter.missions,,,header for a list of missions that copters can do
ongoing.missions,,,
overlay.tip.Copters,,,
available.copters,,,Will be displayed along with the count on the UI element
ongoing.copter.mission.tip,,,
noun.target,,,
expedition.type.mining,,,
expedition.type.exploration,,,
space.object.CargoCopter,,,
space.object.info.CargoCopter,,,
no.task.reason.no.skill.one,,,{0} - skill name. {1} and {2} - a number (skill level). 
no.task.reason.job.priority0.one,,,Displayed when showing a reason why the selected worker will not do some tasks. {0} will be count of tasks (a number).
no.task.reason.job.priority.none,,,
no.task.reason.job.priority.none.one,,,{0} is job type - like construction or hauling
no.task.reason.total.one,,,{0} is task description
brain.stat.JobPriorityNone,,,
objects.devices.xenodetector,,,
objects.devices.xenodetector.desc,,,
research.xenodetection,,,
alien.lifeform.detected,Buitenaardse Levensvorm Gedetecteerd,,
next.scan.in,Volgende scan binnen {0},,{0} time like 27m
space.object.Signal,Signaal,,
space.object.info.Signal,Er is een inkomende korte afstand transmissie uit deze omgeving.,,
verb.accept,Aanvaarden,,
sig.ask.money.unclear.reward.object.0,,,
sig.ask.money.unclear.reward.object.1,,,{0} is something like $10000 Starcreds
sig.ask.money.unclear.reward.object.2,,,
sig.ask.money.unclear.reward.object.3,,,
sig.ask.money.unclear.reward.object.4,,,
sig.ask.money.unclear.reward.object.5,,,
sig.ask.money.unclear.reward.object.6,,,
sig.ask.money.unclear.reward.object.7,,,
sig.ask.money.unclear.reward.object.8,,,
sig.ask.money.unclear.reward.object.9,,,
sig.ask.money.unclear.reward.object.10,,,
sig.ask.money.unclear.reward.object.11,,,
sig.ask.money.unclear.reward.object.12,,,
sig.ask.money.unclear.reward.object.13,,,
sig.ask.money.unclear.reward.object.14,,,
sig.ask.money.unclear.reward.object.15,,,
sig.ask.money.unclear.reward.object.16,,,
sig.ask.money.unclear.reward.object.17,,,
sig.transaction.successful.0,,,
sig.transaction.successful.1,,,
sig.transaction.successful.2,,,
sig.transaction.successful.3,,,
sig.transaction.successful.4,,,
sig.transaction.successful.5,,,
sig.transaction.successful.6,,,
sig.transaction.successful.7,,,
sig.transaction.successful.8,,,
sig.transaction.successful.9,,,
sig.transaction.successful.10,,,
sig.transaction.successful.11,,,
sig.transaction.successful.12,,,
sig.transaction.successful.13,,,
sig.transaction.successful.14,,,
sig.transaction.successful.15,,,
sig.transaction.successful.16,,,
sig.transaction.successful.17,,,
sig.transaction.failed.can.retry.0,,,
sig.transaction.failed.can.retry.1,,,
sig.transaction.failed.can.retry.2,,,
sig.transaction.failed.can.retry.3,,,
sig.transaction.failed.can.retry.4,,,
sig.transaction.failed.can.retry.5,,,
sig.transaction.failed.can.retry.6,,,
sig.transaction.failed.can.retry.7,,,
sig.transaction.failed.can.retry.8,,,
sig.transaction.failed.can.retry.9,,,
sig.transaction.failed.no.retry.0,,,
sig.transaction.failed.no.retry.1,,,
sig.transaction.failed.no.retry.2,,,
sig.transaction.failed.no.retry.3,,,
sig.transaction.failed.no.retry.4,,,
sig.transaction.failed.no.retry.5,,,
sig.transaction.failed.no.retry.6,,,
sig.transaction.failed.no.retry.7,,,
sig.transaction.failed.no.retry.8,,,
sig.transaction.failed.no.retry.9,,,
sig.transaction.failed.no.retry.10,,,
sig.transaction.failed.no.retry.11,,,
sig.transaction.failed.no.retry.12,,,
sig.transaction.failed.no.retry.13,,,
sig.transaction.failed.no.retry.14,,,
sig.transaction.failed.no.retry.15,,,
sig.transaction.failed.no.retry.16,,,
sig.transaction.failed.no.retry.17,,,
sig.transaction.failed.no.retry.18,,,
sig.transaction.failed.no.retry.19,,,
sig.transaction.received,,,{0} will be an item or list of items. There may be new lines there if it's a list
sig.transaction.request,,,{0} will be an item or list of items. There may be new lines there if it's a list
sig.transaction.will.receive,,,
sig.transaction.fulfilled.title,,,
sig.transaction.failed.title,,,
sig.transaction.fulfilled,,,
sig.transaction.failed,,,
sig.transaction.rejected,,,
sig.ask.obj.clear.reward.0,,,"{0} is a material type, like Uranium, {1} is a $100000 or some reward item name."
sig.ask.obj.clear.reward.1,,,
sig.ask.obj.clear.reward.2,,,
sig.ask.obj.clear.reward.3,,,
sig.ask.obj.clear.reward.4,,,
sig.ask.obj.clear.reward.5,,,
sig.ask.obj.clear.reward.6,,,
sig.ask.obj.clear.reward.7,,,
sig.ask.obj.clear.reward.8,,,
sig.ask.obj.clear.reward.9,,,
sig.ask.obj.clear.reward.10,,,
sig.ask.obj.clear.reward.11,,,
sig.ask.obj.clear.reward.12,,,
sig.ask.obj.clear.reward.13,,,
sig.ask.obj.clear.reward.14,,,
sig.transaction.failed.lack.items,,,
objects.devices.centrifuge,,,
objects.devices.centrifuge.desc,,,
obj.materials.enricheduranium,,,
obj.materials.enricheduranium.desc,,,
refine,,,
refining.now,,,
obj.materials.nuclearcell,,,
obj.materials.nuclearcell.desc,,,
sig.extortion.0,,,
sig.extortion.1,,,
sig.extortion.2,,,
sig.extortion.3,,,
sig.extortion.4,,,
sig.extortion.5,,,
sig.extortion.6,,,
sig.extortion.7,,,
sig.extortion.8,,,
sig.extortion.paid.0,,,
sig.extortion.paid.1,,,
sig.extortion.paid.2,,,
sig.extortion.paid.3,,,
sig.extortion.paid.4,,,
sig.extortion.refused.0,,,
sig.extortion.refused.1,,,
sig.extortion.refused.2,,,
sig.extortion.refused.3,,,
sig.extortion.refused.4,,,
show.roof,,,
show.roof.tip,,,
hold.button.for.more.info,,,"{0} is going to be an image with a key, like CTRL"
ui.auto.pack,,,
ui.auto.pack.tip,,,
situation.BlackHoleJumps,,,
sys.locked.by.research,,,{0} is technology name
mining.auto.unlocked,,,
verb.mine,,,as in mine the iron ore deposit
compatible.items,,,"Items could be anything, fuel, clothing, equipment, devices"
compatible.item,,,singular version of compatible.items
details.unknown,,,displayed in the list when there is no details about some event
obj.upgrades.shuttledrillupgrade,,,
obj.upgrades.shuttledrillupgrade.desc,,,
mining.power,,,Will be next to a numeric value that shows the device mining power
exp.require.all.crew.info,,,
exp.require.all.crew,,,
obj.upgrades.thrusterupgrade,,,
obj.upgrades.thrusterupgrade.desc,,,
modifier.BeingsCount_Robot,,,
modifier.BeingsCount_Drone,,,
modifier.BeingsCount_Carrier,,,
modifier.BeingsCount_Human,,,
modifier.BeingsCount_Carrier.desc,,,
modifier.BeingsCount_Drone.desc,,,
modifier.BeingsCount_Human.desc,,,
modifier.BeingsCount_Robot.desc,,,
deconstruct.order.haul,,,
deconstruct.order.haul.tip,,,
compatible.engine.types,,,"{0} will be something like Intergalactic Flight, {1} will be the list of engines names like Thrusters and Fusion Drives"
ship.capable.planet,,,Like Intergalactic or Intersystem or Interplanetary but this is close to the planet - flight between planet moons and around the planet
ship.forward.direction.tip,,,
stasis.prevent.wake.ups,,,
stasis.prevent.wake.ups.tip,,,{0} will be a percentage number like 90%
label.use.as.room.name,,,
label.always.show,,,
tool.connect,,,
tool.connect.desc,,,
overlay.tip.Electricity,,,
objects.devices.gpumodule,,,
objects.devices.gpumodule.desc,,,
objects.devices.gpumodulemini,,,
objects.devices.gpumodulemini.desc,,,
fuel.burn.rate,,,
fuel.burn.rate.h,,,
fuel.burn.rate.tip,,,
currency.mine.rate.h,,,"h is for hours; {0} will be currency amount, like $100"
currency.mine.gpu.tip,,,
gpu.module.builtin,,,
research.advancedgpu,,,
missing.mods.warning,,,{0} is the number of mods
missing.mods.load.warning,,,
link.display.teleporters,,,plural noun
object.in.safe.area,,,
try.auto.connect,,,
try.auto.connect.tip,,,
cpu.cap.would.be.reached,,,
auto.connect.progress,,,
restrict.clock.on.disasters,Limiteer de kloksnelheid tijdens rampen,,
noun.structure,Structuur,,
noun.device,Apparaat,,
noun.worker,Werker,,
noun.enemy,Vijand,,
noun.colonist,Kolonist,,
noun.material,Materiaal,,
noun.object,Object,,
nameless,Naamloos,,
ui.group.Condition,Conditie,,
ui.group.Environment,Omgeving,,
ui.group.Management,Beheer,,
ui.group.Stats,Statistieken,,
ui.group.Activity,Activiteit,,
ui.group.Misc,Diverse,,
adj.movable,Beweegbaar,,
adj.reinstallable,,,
worker.management,,,
input.OpenInventory,,,
teleporter.ready,,,
focus.on.items.after.trade,,,
toggle.log,,,
evt.micro.meteors.ended,,,
joined.mutiny,,,"Will be prefixed by human name, i.e. ""John: Joined the mutiny"""
breakdown.ended,,,
took.damage.from,,2023-09-13,"{0} amount, {1} type, {2} source {3} is location. Will look like ""took 12 Heat damage from Mike at [12:31]"""
took.damage,,2023-09-14,"{0} amount, {1} type, {2} is location"
structure.floors.oxymaticfloor.desc,,,
structure.floors.oxymaticfloor,,,
structure.floors.heatmaticfloor.desc,,,
structure.floors.heatmaticfloor,,,
research.atmospherecontroladvanced,,,
research.heatingadvanced,,,
mood.short,,,"Displayed as short text on the side, 'Mood' should be abbreviated to max 4-5 characters or will be unreadable"
can.sell.for,,,Ex.: Can sell 12 for $123
can.buy.for,,,Ex.: Can buy 12 for $123
structure.floors.coolmaticfloor,,,
structure.floors.coolmaticfloor.desc,,,
research.coolingadvanced,,,
all,,,example use is to set what the filter is showing when it is showing everything
filter,,,short text for a button that toggles a filter
selected,,,filter label for items that are selected
not.selected,,,filter label for items that are not selected
asimov.override.installed,,,
tier.locked.tip,,,variables ar numbers
research.blocked,,,
objects.devices.datoidloader,,,
objects.devices.datoidloader.desc,,,
producing.now,,,
verb.produce,,,
objects.devices.dataharvesterbasic,,,
objects.devices.dataharvesterbasic.desc,,,
all.except.beings,,,as in 'everything except beings'
available.datoids,,,
bookmarks,,,
bookmark,,,
obj.eggs.egg01_hatched,,,
obj.eggs.egg01_hatched.desc,,,
obj.materials.eggshell,,,
obj.materials.eggshell.desc,,,
failed.to.find.safe.path,,,"{0} is object name, like Shuttle"
failed.path.safety.at,,,"{0} is location coordinate, {1} is reason like ""too hot"""
menu.datoids,Datoïdes,,
menu.datoids.desc,<b>Datoïdes</b> zijn kleine data-eenheden die gebruikt kunnen worden voor Onderzoek.,,
obj.datoids.datoidalien,Buitenaardse Datoïde,,
obj.datoids.datoidalien.desc,Een zeldzame <b>Datoïde</b> van buitenaardse oorsprong.,,
obj.datoids.datoidbasic,Basis Datoïde,,
obj.datoids.datoidbasic.desc,<b>Datoïdes</b> zijn kleine data-eenheden die gebruikt kunnen worden voor Onderzoek. Ze moeten bewaard worden in een <b>Daoïde Lader</b> om gebruikt te kunnen worden.,,
obj.datoids.datoidbiotic,Biotische Datoïde,,
obj.datoids.datoidbiotic.desc,,,
obj.datoids.datoidenergy,Energie Datoïde,,
obj.datoids.datoidenergy.desc,,,
obj.datoids.datoidnuclear,Nucleaire Datoïde,,
obj.datoids.datoidnuclear.desc,,,
obj.datoids.datoidphyto,Fyto Datoïde,,
obj.datoids.datoidphyto.desc,,,
obj.datoids.datoidquantum,Kwantum Datoïde,,
obj.datoids.datoidquantum.desc,,,
obj.datoids.datoidsynthetic,Synthetische Datoïde,,
obj.datoids.datoidsynthetic.desc,,,
obj.datoids.datoidtech,Technische Datoïde,,
obj.datoids.datoidtech.desc,,,
obj.datoids.datoidtechhigh,Hoogtechnologische Datoïde,,
obj.datoids.datoidtechhigh.desc,,,
obj.materials.darkmatter,,,
obj.materials.darkmatter.desc,,,
verb.split,,,
objects.devices.dataharvesteradvanced,,,
objects.devices.dataharvesteradvanced.desc,,,
objects.devices.dataharvesterquantum,,,
objects.devices.dataharvesterquantum.desc,,,
engine.move.section.too.small,,,
verb.move,,,
location.nearby,,,
noun.datoid,,,
quest.reward.material,,,Example: Basic Datoid: x10
display.nebula,,,
display.nebula.tip,,,
objects.devices.oxygenpumpmini,,,
objects.devices.oxygenpumpmini.desc,,,
research.computing.cpu,CPU,,
research.computing.cpuimproved,Verbeterde CPU,,
research.computing.disk,Schijf Opslag,,
research.computing.diskcompression,Schijf Compressie,,
research.computing.diskimproved,Verbeterde Schijf Opslag,,
research.computing.gpu,GPU,,
research.computing.gpuimproved,Verbeterde GPU,,
research.computing.heatsink,Koellichaam,,
research.computing.highavailability,Hoge Beschikbaarheid,,
research.computing.highavailabilityadvanced,,,
research.computing.highavailabilityimproved,,,
research.computing.memory,Geheugen,,
research.computing.memorycompression,Geheugencompressie,,
research.computing.memoryimproved,Verbeterd Geheugen,,
research.computing.research,Basis Onderzoek,,
research.computing.researchadvanced,Geavanceerd Onderzoek,,
research.computing.researchquantum,Quantum Onderzoek,,
research.computing.researchstation,Onderzoeksstation,,
research.construction.atmospherecontrolreinforced,,,
research.construction.emblemfloors,,,
research.construction.emblemfloorsreinforced,,,
research.construction.glass,Glasstructuren,,
research.construction.glassreinforced,Versterkte Glasstructuren,,
research.construction.habitation,,,
research.construction.habitationglass,,,
research.construction.lighting,Structurele Verlichting,,
research.construction.speed,Constructiesnelheid x2,,
research.construction.speed2,Constructiesnelheid x4,,
research.construction.speed3,Constructiesnelheid x6,,
research.construction.speed4,Constructiesnelheid x8,,
research.construction.structure,Structuur,,
research.construction.structurereinforced,Versterkte Structuur,,
research.economy.root,Economie,,
research.economy.wallet,Rekening,,
research.energy.connector,,,
research.energy.connectorauto,,,
research.energy.connectorfloor,,,
research.energy.connectorimproved,,,
research.energy.connectorwall,,,
research.energy.reactor,Eenvoudige Reactor,,
research.energy.reactorefficiency,Reactor Efficiëntie,,
research.energy.reactorimproved,Verbeterde Reactor,,
research.energy.reactornuclear,Nucleaire Reactor,,
research.energy.solar,Zonnepanelen,,
research.energy.solarefficient,Efficiënte Zonnepanelen,,
research.energy.solarimproved,Verbeterde Zonnepanelen,,
research.energy.storageimproved,,,
research.energy.storagenuclear,,,
research.energy.switch,Schakelaar,,
research.habitation.decorations,Versieringen,,
research.habitation.furnitureimproved,,,
research.habitation.root,,,
research.habitation.storagecold,,,
research.habitation.storagecoldimproved,,,
research.habitation.storagekitchen,,,
research.habitation.storagekitchenimproved,,,
research.lifesupport.coolingadvanced,,,
research.lifesupport.coolingimproved,,,
research.lifesupport.foodproduction,,,
research.lifesupport.foodproductionimproved,,,
research.lifesupport.geneticengineering,,,
research.lifesupport.heatingimproved,,,
research.lifesupport.oxygen,Zuurstof Productie,,
research.lifesupport.oxygenadvanced,,,
research.lifesupport.oxygenimproved,,,
research.lifesupport.planterimproved,,,
research.lifesupport.root,,,
research.production.assembly,,,
research.production.assemblyadvanced,,,
research.production.assemblyimproved,,,
research.production.batteriesnuclear,,,
research.production.biochemicalextraction,,,
research.production.chemicalengineering,,,
research.production.disassembly,,,
research.production.electronics,,,
research.production.materialprocessing,,,
research.production.materialsynthesis,,,
research.production.nuclearenrichment,,,
research.production.oilprocessing,,,
research.production.optics,,,
research.robotics.robotcap1024,,,
research.robotics.robotcap128,,,
